iter	A(1)	B(1)	A(1.1)	B(1.1)	A(1.2)	B(1.2)	A(1.3)	B(1.3)	A(1.4)	B(1.4)	A(1.5)	B(1.5)	A(1.6)	B(1.6)	A(1.7)	B(1.7)	A(1.8)	B(1.8)	A(1.9)	B(1.9)	A(1.10)	B(1.10)	LnPrior	LnData	LnPosterior
533	0.015205	1.259	-0.047214	1.1664	0.186443	1.43343	-0.102655	1.11438	0.205152	1.29211	0.00145964	1.13653	-0.0144138	1.1548	-0.0874948	0.944874	-0.169514	1.06392	0.0479428	1.30171	0.0476901	1.26581	4.927183e+00	1.637288e+02	1.686559e+02
534	0.015205	1.259	-0.047214	1.1674	0.15487	1.43343	-0.102655	1.11438	0.205152	1.29211	0.00145964	1.13332	-0.00483361	1.15095	-0.0583058	0.942341	-0.188944	1.07178	0.0479428	1.30171	0.0476901	1.26581	5.320887e+00	1.629213e+02	1.682422e+02
535	0.015205	1.259	-0.0772555	1.16838	0.15487	1.43343	-0.102655	1.1155	0.205152	1.29211	0.00145964	1.13146	-0.00483361	1.14999	-0.0583058	0.942345	-0.179427	1.07178	0.083828	1.30006	0.0476901	1.26581	5.095628e+00	1.621204e+02	1.672160e+02
536	0.015205	1.259	-0.0772555	1.16919	0.173947	1.43343	-0.139568	1.1155	0.205152	1.29211	0.0355064	1.13095	-0.00483361	1.14999	-0.0583058	0.942345	-0.179427	1.07178	0.083828	1.29669	0.0469501	1.26581	4.302538e+00	1.650677e+02	1.693702e+02
537	0.015205	1.259	-0.0772555	1.16959	0.173947	1.43343	-0.117923	1.1155	0.205152	1.29211	0.0355064	1.1265	-0.00483361	1.15216	-0.0666196	0.942345	-0.216028	1.06708	0.083828	1.29669	0.0469501	1.26581	3.740193e+00	1.653819e+02	1.691221e+02
538	0.015205	1.259	-0.0772555	1.16959	0.173947	1.43239	-0.117923	1.11797	0.205152	1.29158	0.0656307	1.1265	-0.00483361	1.15258	-0.0666196	0.942345	-0.216028	1.07254	0.119417	1.2939	0.0469501	1.26581	3.369319e+00	1.662659e+02	1.696352e+02
539	0.015205	1.259	-0.0772555	1.16959	0.160274	1.43239	-0.117923	1.11797	0.205152	1.29158	0.0656307	1.12823	-0.0143569	1.15258	-0.0934536	0.942345	-0.216028	1.07254	0.118174	1.29274	0.0243096	1.26581	3.363613e+00	1.655659e+02	1.689295e+02
540	0.015205	1.259	-0.0772555	1.16959	0.168041	1.43239	-0.117923	1.11797	0.205152	1.29158	0.0763338	1.12823	-0.0143569	1.14974	-0.0934536	0.947403	-0.216028	1.07254	0.111791	1.29274	0.0379359	1.26581	3.262271e+00	1.638720e+02	1.671343e+02
541	0.015205	1.259	-0.0772555	1.16971	0.170492	1.43239	-0.117923	1.11797	0.187931	1.29158	0.0763338	1.12823	-0.0143569	1.15057	-0.120022	0.947403	-0.216028	1.07254	0.111791	1.29274	0.0438566	1.26581	3.200102e+00	1.610975e+02	1.642976e+02
542	0.015205	1.259	-0.0759023	1.16971	0.17744	1.43239	-0.117923	1.11797	0.187931	1.29158	0.0763338	1.12574	-0.0143569	1.15057	-0.117741	0.947403	-0.212839	1.07254	0.107701	1.29274	0.0438566	1.2598	3.237088e+00	1.617325e+02	1.649696e+02
543	0.015205	1.259	-0.0759023	1.16682	0.17744	1.43239	-0.126583	1.11797	0.187931	1.29158	0.061371	1.12574	-0.0143569	1.1496	-0.080903	0.946214	-0.212839	1.07254	0.121967	1.29274	0.0438566	1.2598	3.459630e+00	1.633041e+02	1.667637e+02
544	0.015205	1.259	-0.0449694	1.16682	0.17398	1.43239	-0.126583	1.11797	0.187931	1.29158	0.061371	1.12574	-0.0143569	1.1496	-0.0825225	0.946214	-0.212839	1.07254	0.121967	1.29274	0.0438566	1.2598	3.733444e+00	1.633161e+02	1.670495e+02
545	0.015205	1.259	-0.0775921	1.17058	0.148428	1.43239	-0.136058	1.11797	0.187931	1.29158	0.061371	1.12574	-0.0143569	1.1496	-0.0825225	0.946214	-0.212839	1.07515	0.1117	1.29274	0.0438566	1.2598	3.843066e+00	1.620814e+02	1.659245e+02
546	0.015205	1.259	-0.0775921	1.17058	0.148428	1.43239	-0.136058	1.11737	0.187931	1.29158	0.0649937	1.12578	-0.0143569	1.15265	-0.0825225	0.943878	-0.212839	1.07515	0.1117	1.29274	0.0397191	1.26896	3.823335e+00	1.625056e+02	1.663289e+02
