Results of Simulation 1

Time	Q_inh	Q_brain	Q_muscle	Q_lung	Q_heart	Q_liver	Q_kidney	Q_pancreas	Q_art	Q_ven	Q_stom_lumen	Q_urine	Q_spleen	Q_gut_lumen	Q_urt	Q_gonads
43	2.25	0.0618922	0.164507	0.0023252	0.010719	0.0849858	0.00457846	0.00553436	0.00176109	0.00769309	0.00567214	1.8128e-06	0.00131357	0.000897729	2.79984e-05	0.000472163
44	2.25	0.0614848	0.165436	0.0022965	0.0105274	0.0837323	0.00452268	0.00550423	0.00173936	0.00759811	0.00560272	1.82749e-06	0.00129733	0.000885147	2.76528e-05	0.000473795
45	2.25	0.0610744	0.166347	0.00226814	0.0103417	0.0824952	0.00446737	0.0054737	0.00171788	0.00750426	0.00553395	1.842e-06	0.0012813	0.000872948	2.73113e-05	0.000475363
46	2.25	0.0606614	0.167237	0.00224013	0.0101614	0.0812752	0.00441258	0.0054428	0.00169666	0.00741159	0.00546587	1.85634e-06	0.00126547	0.000861088	2.6974e-05	0.000476869
47	2.25	0.060246	0.168109	0.00221248	0.00998641	0.0800729	0.00435836	0.00541155	0.00167572	0.00732015	0.00539856	1.8705e-06	0.00124984	0.000849533	2.66411e-05	0.000478313
48	2.25	0.0598283	0.168962	0.00218521	0.00981647	0.0788887	0.00430474	0.00537996	0.00165506	0.00722995	0.00533203	1.88448e-06	0.0012344	0.000838258	2.63128e-05	0.000479697
49	2.25	0.0594085	0.169797	0.00215833	0.00965133	0.0777228	0.00425176	0.00534806	0.00163469	0.00714104	0.00526635	1.89829e-06	0.00121916	0.000827238	2.5989e-05	0.000481021
50	2.25	0.0589869	0.170613	0.00213184	0.00949079	0.0765756	0.00419945	0.00531586	0.00161462	0.00705342	0.00520152	1.91193e-06	0.00120412	0.000816453	2.567e-05	0.000482287
51	2.25	0.0585637	0.171412	0.00210574	0.00933467	0.0754472	0.00414783	0.00528339	0.00159484	0.00696711	0.00513759	1.92541e-06	0.00118928	0.000805889	2.53557e-05	0.000483496
52	2.25	0.0581391	0.172193	0.00208003	0.00918276	0.0743375	0.00409692	0.00525067	0.00157536	0.00688212	0.00507455	1.93871e-06	0.00117464	0.000795532	2.50462e-05	0.000484648
