Results of Simulation 1

Time	C_skin	C_brain	C_null	C_muscle	C_lung	C_heart	C_liver	C_kidney	C_stomach	C_gut	C_pancreas	C_adrenal	C_adip	C_art	C_ven	C_stom_lumen	C_marrow	C_thyroid	C_spleen	C_gut_lumen	C_other
48	9.4375	12.7518	0	1.47537	3.65548	15.3653	8.5925	11.029	8.57589	12.3438	14.0824	10.1618	1.17329	0.983884	0.547377	0	3.72024	10.4098	6.23181	0	1.00314
49	9.63907	12.9727	0	1.51054	3.6728	15.5106	8.68987	11.0846	8.66972	12.451	14.3028	10.2189	1.20269	0.988559	0.553221	0	3.8096	10.4618	6.26649	0	1.02721
50	9.8402	13.1914	0	1.54581	3.68983	15.6523	8.78473	11.1392	8.76145	12.5556	14.5202	10.2748	1.23222	0.993157	0.558968	0	3.89919	10.513	6.30053	0	1.05134
51	10.0409	13.4079	0	1.58115	3.70658	15.7907	8.87717	11.1929	8.85114	12.6575	14.7347	10.3298	1.26188	0.997681	0.564623	0	3.98903	10.5633	6.33393	0	1.07553
52	10.2411	13.6221	0	1.61657	3.72307	15.9257	8.96729	11.2457	8.93886	12.757	14.9464	10.3837	1.29167	1.00213	0.570188	0	4.07909	10.6128	6.36673	0	1.09979
53	10.4408	13.8343	0	1.65206	3.73929	16.0576	9.05517	11.2976	9.02466	12.8542	15.1552	10.4367	1.32159	1.00651	0.575665	0	4.16937	10.6615	6.39895	0	1.1241
54	10.64	14.0442	0	1.68763	3.75527	16.1864	9.14087	11.3487	9.10859	12.949	15.3611	10.4887	1.35164	1.01083	0.581057	0	4.25986	10.7094	6.4306	0	1.14847
55	10.8387	14.2519	0	1.72327	3.771	16.3122	9.22449	11.399	9.19072	13.0416	15.5643	10.5398	1.38181	1.01507	0.586367	0	4.35056	10.7565	6.46171	0	1.17289
56	11.0368	14.4576	0	1.75897	3.78649	16.4352	9.30609	11.4485	9.27109	13.1321	15.7647	10.59	1.4121	1.01925	0.591597	0	4.44145	10.8029	6.49229	0	1.19736
57	11.2344	14.661	0	1.79474	3.80175	16.5554	9.38575	11.4973	9.34975	13.2206	15.9624	10.6394	1.44251	1.02337	0.596749	0	4.53254	10.8486	6.52236	0	1.22188
58	11.4315	14.8624	0	1.83057	3.81678	16.6729	9.46353	11.5453	9.42676	13.307	16.1575	10.688	1.47304	1.02743	0.601825	0	4.62381	10.8936	6.55193	0	1.24646
59	11.6279	15.0616	0	1.86646	3.8316	16.7879	9.5395	11.5925	9.50216	13.3916	16.3499	10.7358	1.50369	1.03143	0.606829	0	4.71526	10.9379	6.58103	0	1.27107
60	11.8238	15.2588	0	1.9024	3.84621	16.9004	9.61372	11.6391	9.576	13.4744	16.5396	10.7828	1.53445	1.03538	0.611761	0	4.80688	10.9816	6.60966	0	1.29574
61	11.9087	15.268	0	1.92313	1.78941	16.6069	9.58534	10.2235	9.45323	13.2014	16.4998	10.2236	1.55386	0.489644	0.600376	0	4.86049	9.48943	6.25314	0	1.31014
62	11.9405	15.1896	0	1.93656	1.69749	16.1431	9.49197	8.66224	9.24534	12.7822	16.3543	9.47453	1.56782	0.460934	0.569565	0	4.89587	7.90997	5.77843	0	1.31962
63	11.965	15.1008	0	1.94897	1.61434	15.6801	9.37501	7.51326	9.03474	12.3673	16.1979	8.7958	1.58105	0.437956	0.542251	0	4.92869	6.79975	5.35081	0	1.3284
64	11.9831	15.0035	0	1.9605	1.54655	15.222	9.23867	6.65819	8.82352	11.9602	16.0331	8.18324	1.59364	0.419105	0.520074	0	4.95933	6.0064	4.96704	0	1.3366
65	11.9962	14.9	0	1.97132	1.49107	14.7726	9.08688	6.01649	8.61367	11.5637	15.8625	7.63326	1.60572	0.403714	0.501864	0	4.98821	5.43152	4.62432	0	1.34432
66	12.0052	14.7918	0	1.98155	1.4446	14.3344	8.92305	5.53015	8.40665	11.18	15.688	7.14139	1.61737	0.390872	0.486554	0	5.0156	5.00827	4.3194	0	1.35164
67	12.0106	14.68	0	1.99128	1.40473	13.9092	8.75005	5.15717	8.20343	10.8102	15.511	6.70259	1.62867	0.379895	0.473365	0	5.04175	4.69094	4.04875	0	1.35862
68	12.013	14.5655	0	2.00056	1.3697	13.4978	8.57036	4.86685	8.00466	10.455	15.3325	6.31161	1.63966	0.370284	0.461733	0	5.0668	4.44777	3.80876	0	1.36531
69	12.0128	14.4489	0	2.00946	1.33825	13.1006	8.38604	4.63689	7.8107	10.1144	15.1532	5.96334	1.65037	0.361682	0.451256	0	5.09089	4.25681	3.59598	0	1.37174
70	12.0102	14.3306	0	2.01801	1.30948	12.7179	8.19883	4.45103	7.62177	9.78835	14.9737	5.65293	1.66084	0.353835	0.441645	0	5.1141	4.10274	3.40718	0	1.37793
71	12.0054	14.2111	0	2.02623	1.28274	12.3494	8.01021	4.29746	7.43798	9.47645	14.7943	5.37589	1.67108	0.346559	0.432693	0	5.1365	3.97489	3.23937	0	1.3839
72	11.9987	14.0906	0	2.03414	1.25758	11.9948	7.82137	4.16761	7.25933	9.17827	14.6154	5.12815	1.6811	0.339724	0.424255	0	5.15814	3.8658	3.0899	0	1.38966
73	11.99	13.9693	0	2.04177	1.23368	11.6537	7.63334	4.05527	7.08578	8.89328	14.4372	4.90607	1.69093	0.333239	0.416226	0	5.17906	3.77028	2.95639	0	1.39523
74	11.9797	13.8474	0	2.04912	1.2108	11.3257	7.44694	3.95595	6.91724	8.62092	14.2599	4.70641	1.70056	0.327037	0.408533	0	5.1993	3.68467	2.83674	0	1.40062
75	11.9677	13.725	0	2.0562	1.18878	11.0103	7.26285	3.8664	6.75361	8.3606	14.0835	4.5263	1.71001	0.321073	0.401125	0	5.21888	3.60642	2.72912	0	1.40583
76	11.954	13.6022	0	2.06304	1.1675	10.7071	7.08162	3.78428	6.59476	8.11175	13.9082	4.36326	1.71928	0.315314	0.393963	0	5.23782	3.53374	2.63194	0	1.41087
77	11.9389	13.4791	0	2.06962	1.14689	10.4154	6.90368	3.7079	6.44058	7.8738	13.7341	4.2151	1.72838	0.309737	0.387023	0	5.25616	3.46538	2.5438	0	1.41574
78	11.9223	13.3559	0	2.07597	1.12689	10.1348	6.72939	3.63605	6.29092	7.6462	13.5612	4.07993	1.73731	0.304326	0.380286	0	5.2739	3.40047	2.46353	0	1.42045
79	11.9044	13.2326	0	2.08209	1.10746	9.8649	6.559	3.56784	6.14565	7.42844	13.3896	3.95611	1.74608	0.299068	0.373738	0	5.29106	3.33837	2.39009	0	1.42501
80	11.885	13.1092	0	2.08798	1.08856	9.60515	6.39272	3.50266	6.00465	7.22001	13.2194	3.84222	1.7547	0.293956	0.36737	0	5.30767	3.27865	2.32259	0	1.42941
81	11.8644	12.9859	0	2.09366	1.07017	9.35514	6.23068	3.44004	5.86777	7.02045	13.0506	3.73704	1.76316	0.288983	0.361175	0	5.32373	3.22101	2.2603	0	1.43367
82	11.8426	12.8627	0	2.09912	1.05228	9.11444	6.07298	3.37966	5.73489	6.82929	12.8833	3.63951	1.77148	0.284144	0.355147	0	5.33926	3.16522	2.20254	0	1.43778
83	11.8196	12.7396	0	2.10438	1.03487	8.88267	5.91967	3.32129	5.60589	6.64612	12.7174	3.54874	1.77965	0.279435	0.34928	0	5.35427	3.11113	2.14878	0	1.44176
84	11.7954	12.6168	0	2.10943	1.01792	8.65943	5.77078	3.26473	5.48066	6.47054	12.5531	3.46394	1.78767	0.274853	0.343572	0	5.36879	3.05861	2.09854	0	1.4456
85	11.7702	12.4943	0	2.11429	1.00144	8.44436	5.6263	3.20987	5.35907	6.30217	12.3903	3.38443	1.79557	0.270394	0.338017	0	5.38281	3.0076	2.0514	0	1.44931
86	11.7439	12.3722	0	2.11896	0.985398	8.23712	5.48619	3.15661	5.24101	6.14066	12.2292	3.30964	1.80332	0.266056	0.332613	0	5.39637	2.958	2.00703	0	1.45289
87	11.7166	12.2504	0	2.12345	0.969794	8.03739	5.35042	3.10486	5.12638	5.98568	12.0697	3.23906	1.81095	0.261836	0.327355	0	5.40946	2.90978	1.96512	0	1.45634
88	11.6883	12.129	0	2.12776	0.954616	7.84484	5.21891	3.05457	5.01508	5.8369	11.9118	3.17227	1.81846	0.257731	0.322242	0	5.4221	2.86289	1.92542	0	1.45968
89	11.6591	12.0082	0	2.13189	0.939854	7.65919	5.0916	3.00568	4.907	5.69403	11.7556	3.10889	1.82584	0.253738	0.317268	0	5.43431	2.81729	1.8877	0	1.4629
90	11.6291	11.8878	0	2.13586	0.925497	7.48014	4.96839	2.95814	4.80205	5.5568	11.6011	3.0486	1.8331	0.249855	0.312431	0	5.4461	2.77293	1.85178	0	1.466
91	11.5982	11.7681	0	2.13966	0.911534	7.30742	4.8492	2.91192	4.70013	5.42491	11.4483	2.9911	1.84024	0.246078	0.307727	0	5.45748	2.72979	1.81749	0	1.46899
92	11.5665	11.649	0	2.1433	0.897956	7.14078	4.73392	2.86697	4.60115	5.29812	11.2973	2.93615	1.84728	0.242405	0.303153	0	5.46845	2.68784	1.78468	0	1.47188
93	11.534	11.5305	0	2.14679	0.884754	6.97999	4.62246	2.82326	4.50503	5.17624	11.1481	2.88358	1.8542	0.238834	0.298705	0	5.47904	2.64704	1.75325	0	1.47466
94	11.5008	11.4127	0	2.15012	0.871915	6.82481	4.51471	2.78076	4.41168	5.059	11.0006	2.83317	1.86101	0.235362	0.29438	0	5.48925	2.60737	1.72308	0	1.47733
95	11.4669	11.2956	0	2.15331	0.85943	6.67503	4.41056	2.73944	4.32102	4.94622	10.8548	2.78477	1.86773	0.231985	0.290174	0	5.49909	2.56879	1.69408	0	1.47991
96	11.4323	11.1792	0	2.15636	0.847289	6.5304	4.3099	2.69925	4.23297	4.83766	10.7109	2.73821	1.87434	0.228701	0.286083	0	5.50857	2.53127	1.66616	0	1.48239
97	11.3972	11.0637	0	2.15927	0.835481	6.39075	4.21264	2.66017	4.14745	4.73317	10.5688	2.6934	1.88085	0.225507	0.282105	0	5.51771	2.49478	1.63925	0	1.48478
98	11.3614	10.9489	0	2.16204	0.823997	6.25589	4.11866	2.62217	4.0644	4.63255	10.4284	2.6502	1.88727	0.222401	0.278236	0	5.52651	2.4593	1.6133	0	1.48708
99	11.325	10.835	0	2.16468	0.812827	6.12562	4.02785	2.58521	3.98373	4.53563	10.2899	2.60852	1.89359	0.21938	0.274472	0	5.53498	2.4248	1.58823	0	1.48929
100	11.2881	10.7219	0	2.1672	0.80196	5.99976	3.94011	2.54926	3.90538	4.44225	10.1532	2.56826	1.89983	0.216441	0.270811	0	5.54314	2.39123	1.56399	0	1.49141
101	11.2507	10.6097	0	2.1696	0.791387	5.87814	3.85533	2.5143	3.82926	4.35225	10.0183	2.52935	1.90597	0.213581	0.267249	0	5.55098	2.35859	1.54055	0	1.49345
102	11.2128	10.4984	0	2.17187	0.781099	5.76059	3.77341	2.48029	3.75533	4.26548	9.88526	2.4917	1.91203	0.210799	0.263782	0	5.55853	2.32683	1.51786	0	1.49541
103	11.1744	10.388	0	2.17403	0.771087	5.64697	3.69425	2.4472	3.68351	4.18181	9.754	2.45526	1.91801	0.208091	0.260409	0	5.56578	2.29593	1.49588	0	1.49729
104	11.1356	10.2786	0	2.17608	0.761341	5.53712	3.61775	2.415	3.61375	4.1011	9.62454	2.41996	1.9239	0.205455	0.257125	0	5.57274	2.26587	1.47457	0	1.49909
105	11.0965	10.1701	0	2.17801	0.751854	5.43089	3.54383	2.38367	3.54597	4.02322	9.49689	2.38575	1.92972	0.202889	0.253928	0	5.57943	2.23661	1.4539	0	1.50082
106	11.0569	10.0625	0	2.17984	0.742615	5.32816	3.47237	2.35318	3.48012	3.94806	9.37103	2.35258	1.93546	0.200391	0.250815	0	5.58585	2.20814	1.43386	0	1.50248
107	11.0169	9.95598	0	2.18157	0.733618	5.22878	3.4033	2.3235	3.41614	3.8755	9.24697	2.32039	1.94113	0.197958	0.247783	0	5.59201	2.18042	1.4144	0	1.50406
108	10.9766	9.85041	0	2.18319	0.724855	5.13263	3.33653	2.2946	3.35398	3.80543	9.12468	2.28914	1.94672	0.195588	0.24483	0	5.59792	2.15343	1.3955	0	1.50558
109	10.936	9.74583	0	2.18472	0.716317	5.0396	3.27198	2.26646	3.29358	3.73775	9.00417	2.2588	1.95224	0.19328	0.241952	0	5.60357	2.12714	1.37714	0	1.50703
110	10.8951	9.64225	0	2.18615	0.707997	4.94955	3.20956	2.23905	3.23488	3.67235	8.88543	2.22933	1.95769	0.19103	0.239149	0	5.60899	2.10155	1.3593	0	1.50841
