iter	min_F(1)	max_F(1)	ka(1)	ke(1)	F(1)	SD_C_central(1)	SD_AUC(1)	LnPrior	LnData	LnPosterior
90	0.454084	0.833579	0.129528	0.0448244	0.636707	0.102064	0.108341	1.172470e+01	1.904161e+01	3.076631e+01
91	0.462173	0.673367	0.129528	0.0448244	0.636707	0.103797	0.104796	1.232570e+01	1.966382e+01	3.198951e+01
92	0.539927	0.673367	0.129528	0.0448244	0.636707	0.103678	0.102723	1.294097e+01	1.966858e+01	3.260955e+01
93	0.507119	0.744401	0.129528	0.0448244	0.61854	0.105396	0.102723	1.229649e+01	2.033850e+01	3.263499e+01
94	0.524234	0.850994	0.129528	0.0448244	0.61854	0.109391	0.100919	1.201185e+01	2.124523e+01	3.325708e+01
95	0.524234	0.857744	0.129528	0.0448244	0.61854	0.108558	0.0992361	1.199141e+01	2.104090e+01	3.303231e+01
96	0.482237	0.80541	0.129528	0.0448244	0.61854	0.10947	0.0979426	1.193830e+01	2.120832e+01	3.314662e+01
97	0.418109	0.926503	0.125544	0.0448244	0.609068	0.103526	0.0995694	1.140114e+01	1.789695e+01	2.929809e+01
98	0.431731	0.927934	0.125544	0.0450236	0.609068	0.106803	0.100608	1.144476e+01	1.952721e+01	3.097197e+01
99	0.395477	0.973839	0.125544	0.0450236	0.609068	0.109225	0.102622	1.122970e+01	2.012641e+01	3.135610e+01
100	0.497501	0.90663	0.125544	0.0450236	0.6251	0.109225	0.105067	1.176071e+01	2.278373e+01	3.454445e+01
101	0.497501	0.875439	0.125544	0.0450236	0.6251	0.109531	0.107636	1.184001e+01	2.279902e+01	3.463903e+01
102	0.502113	0.875439	0.125544	0.0450236	0.6251	0.109323	0.108628	1.186151e+01	2.273761e+01	3.459912e+01
103	0.502113	0.924236	0.125544	0.0454234	0.661814	0.104933	0.10939	1.173000e+01	2.248331e+01	3.421330e+01
104	0.560012	0.905329	0.124892	0.0454234	0.63468	0.10191	0.109302	1.205988e+01	2.386036e+01	3.592024e+01
105	0.544992	0.964208	0.118417	0.0454234	0.63468	0.0973521	0.106297	1.188759e+01	2.139701e+01	3.328460e+01
106	0.631033	0.918771	0.118417	0.0454234	0.658016	0.0973521	0.104622	1.247353e+01	2.190882e+01	3.438236e+01
107	0.631033	0.836237	0.118417	0.0454234	0.650734	0.0961117	0.103265	1.281158e+01	2.196837e+01	3.477995e+01
108	0.631033	0.939164	0.118417	0.0454234	0.642893	0.0969562	0.107429	1.240506e+01	2.197506e+01	3.438012e+01
109	0.52134	0.970204	0.118417	0.0468752	0.640279	0.0968754	0.106555	1.173760e+01	2.648521e+01	3.822280e+01
110	0.52134	0.827457	0.118417	0.0468752	0.639419	0.0965668	0.10184	1.212035e+01	2.609499e+01	3.821534e+01
111	0.415115	0.897616	0.118417	0.0461617	0.639419	0.0965668	0.10436	1.148004e+01	2.583866e+01	3.731870e+01
112	0.448371	0.84573	0.118417	0.0472978	0.668447	0.0963483	0.100925	1.170872e+01	3.117896e+01	4.288767e+01
113	0.448371	0.970887	0.118417	0.0473896	0.682076	0.0956549	0.100782	1.143298e+01	3.153173e+01	4.296471e+01
114	0.518325	0.951046	0.118417	0.0473896	0.698788	0.0937134	0.104814	1.175715e+01	2.959447e+01	4.135162e+01
115	0.402199	0.810276	0.118417	0.0473896	0.698788	0.100339	0.105374	1.159980e+01	3.043613e+01	4.203593e+01
116	0.452224	0.89754	0.106376	0.0473896	0.688668	0.100339	0.105374	1.170943e+01	3.198121e+01	4.369063e+01
117	0.428406	0.909246	0.106376	0.0488026	0.712885	0.101719	0.107126	1.156095e+01	3.695696e+01	4.851791e+01
118	0.377314	0.943404	0.106376	0.0488026	0.712885	0.0983285	0.107514	1.131212e+01	3.693837e+01	4.825049e+01
119	0.379267	0.884636	0.106376	0.0488026	0.717275	0.0983043	0.109903	1.142872e+01	3.695729e+01	4.838601e+01
120	0.330317	0.952403	0.106376	0.0488026	0.721019	0.101415	0.106658	1.114503e+01	3.717392e+01	4.831895e+01
121	0.394703	0.941691	0.106376	0.0488026	0.716659	0.101431	0.0967975	1.137477e+01	3.757202e+01	4.894678e+01
122	0.314331	0.915437	0.106376	0.0488026	0.729717	0.100545	0.0941823	1.115575e+01	3.736175e+01	4.851750e+01
123	0.307164	0.839141	0.106376	0.0492022	0.729717	0.101651	0.0924919	1.125940e+01	3.755608e+01	4.881548e+01
124	0.34374	0.846398	0.106376	0.0493221	0.722897	0.0990146	0.100862	1.136790e+01	3.704866e+01	4.841655e+01
125	0.386973	0.84127	0.106376	0.0490953	0.722032	0.0969309	0.100862	1.154180e+01	3.740306e+01	4.894486e+01
126	0.42803	0.856678	0.103756	0.0490953	0.722032	0.101298	0.100201	1.169441e+01	3.785502e+01	4.954943e+01
127	0.42803	0.766042	0.108987	0.0490953	0.723919	0.0982436	0.09808	1.188221e+01	3.604528e+01	4.792748e+01
128	0.493695	0.766042	0.108987	0.0490953	0.715685	0.0982436	0.0973453	1.222015e+01	3.600244e+01	4.822259e+01
129	0.548517	0.766042	0.108987	0.0490953	0.706703	0.0983418	0.0964285	1.255952e+01	3.532163e+01	4.788115e+01
130	0.548517	0.766042	0.108987	0.0477347	0.706703	0.0919146	0.0910156	1.258746e+01	3.464204e+01	4.722949e+01
131	0.621774	0.766042	0.108987	0.0477347	0.705462	0.091689	0.0922622	1.317514e+01	3.468062e+01	4.785576e+01
132	0.47856	0.74274	0.108987	0.0482326	0.705462	0.0959972	0.0971777	1.223878e+01	3.644303e+01	4.868181e+01
133	0.51948	0.783876	0.108987	0.0482326	0.697939	0.102272	0.10151	1.231969e+01	3.610059e+01	4.842028e+01
134	0.399624	0.768833	0.108987	0.0482326	0.697894	0.105513	0.0958446	1.176309e+01	3.627679e+01	4.803988e+01
135	0.363198	0.748583	0.105724	0.0482326	0.728983	0.105875	0.0937574	1.169212e+01	3.568668e+01	4.737880e+01
136	0.301101	0.748583	0.105724	0.0484897	0.728983	0.104165	0.0937574	1.144439e+01	3.675589e+01	4.820028e+01
137	0.271017	0.741504	0.105724	0.0493099	0.725324	0.104494	0.0906737	1.133541e+01	3.767588e+01	4.901130e+01
138	0.319018	0.741504	0.105724	0.0493099	0.730114	0.106028	0.0954769	1.151114e+01	3.762178e+01	4.913292e+01
139	0.281264	0.856785	0.105724	0.0493099	0.730114	0.108122	0.101514	1.114806e+01	3.734764e+01	4.849570e+01
140	0.278746	0.856785	0.105724	0.0493099	0.730114	0.108545	0.10301	1.114020e+01	3.726514e+01	4.840534e+01
141	0.380376	0.768641	0.105724	0.0493099	0.730114	0.108356	0.103797	1.169003e+01	3.723193e+01	4.892197e+01
142	0.273121	0.768641	0.105724	0.0492174	0.723288	0.105806	0.100296	1.128834e+01	3.747049e+01	4.875883e+01
143	0.253375	0.783241	0.105724	0.0492174	0.742326	0.108415	0.102363	1.119452e+01	3.669647e+01	4.789099e+01
144	0.278895	0.783241	0.105724	0.0484363	0.749058	0.107019	0.102833	1.129459e+01	3.308992e+01	4.438450e+01
145	0.365771	0.783241	0.105724	0.0490942	0.74412	0.101243	0.104541	1.159858e+01	3.634433e+01	4.794291e+01
146	0.407228	0.783241	0.105724	0.0490073	0.736764	0.102907	0.108567	1.177254e+01	3.675065e+01	4.852319e+01
147	0.452336	0.81254	0.105724	0.0490073	0.736764	0.104962	0.101768	1.189464e+01	3.706652e+01	4.896116e+01
148	0.450181	0.81254	0.105724	0.0490073	0.736764	0.10441	0.101929	1.188475e+01	3.706834e+01	4.895309e+01
149	0.416373	0.897196	0.105724	0.0483714	0.730856	0.106977	0.10071	1.155520e+01	3.588366e+01	4.743887e+01
150	0.458846	0.934759	0.105724	0.049223	0.730856	0.0993191	0.0995321	1.162366e+01	3.763626e+01	4.925991e+01
151	0.480659	0.942438	0.105724	0.049223	0.730856	0.0975002	0.101467	1.169495e+01	3.755119e+01	4.924614e+01
152	0.433981	0.892445	0.105724	0.0487218	0.730856	0.102926	0.107596	1.162628e+01	3.671433e+01	4.834061e+01
153	0.418905	0.876872	0.105724	0.0487218	0.733439	0.102202	0.106152	1.160108e+01	3.658037e+01	4.818144e+01
154	0.441864	0.862889	0.105724	0.0487076	0.719499	0.101086	0.108098	1.172578e+01	3.709584e+01	4.882162e+01
155	0.567773	0.879453	0.105724	0.0490251	0.719499	0.101025	0.104534	1.227568e+01	3.740081e+01	4.967649e+01
156	0.566126	0.879453	0.108396	0.0490251	0.700105	0.0967802	0.102157	1.224133e+01	3.471958e+01	4.696091e+01
157	0.455317	0.94222	0.102801	0.0486505	0.700105	0.104217	0.0994221	1.163423e+01	3.474247e+01	4.637670e+01
158	0.455317	0.842381	0.102801	0.0486505	0.700105	0.105985	0.0981905	1.186370e+01	3.472021e+01	4.658391e+01
159	0.28105	0.958752	0.102801	0.0486505	0.687517	0.103494	0.0964645	1.102600e+01	3.156047e+01	4.258647e+01
160	0.288549	0.965816	0.102801	0.0481232	0.687517	0.105955	0.099043	1.104796e+01	3.154151e+01	4.258947e+01
161	0.362694	0.857746	0.102801	0.0481232	0.687517	0.100801	0.103619	1.147142e+01	3.148169e+01	4.295311e+01
162	0.400155	0.888591	0.102801	0.0481232	0.712449	0.0979175	0.103619	1.154545e+01	3.428286e+01	4.582831e+01
163	0.527345	0.845163	0.102801	0.0481232	0.712449	0.0983591	0.105819	1.221348e+01	3.421483e+01	4.642831e+01
164	0.48994	0.905406	0.102801	0.049057	0.737518	0.1003	0.10492	1.185029e+01	3.757960e+01	4.942988e+01
165	0.436013	0.813077	0.102801	0.049057	0.737518	0.101762	0.0949667	1.184677e+01	3.796645e+01	4.981322e+01
166	0.376933	0.818173	0.106709	0.049057	0.737518	0.102547	0.09768	1.155234e+01	3.675452e+01	4.830686e+01
167	0.257439	0.749692	0.105487	0.049057	0.737518	0.100654	0.100085	1.127913e+01	3.727579e+01	4.855492e+01
168	0.308774	0.750751	0.101749	0.049057	0.737518	0.10408	0.10032	1.149482e+01	3.763883e+01	4.913364e+01
169	0.255743	0.750751	0.101749	0.049057	0.717557	0.101848	0.0987888	1.130758e+01	3.701283e+01	4.832042e+01
170	0.261824	0.750751	0.101675	0.049057	0.717557	0.096549	0.0952761	1.132888e+01	3.705732e+01	4.838620e+01
171	0.28899	0.798086	0.105653	0.049057	0.717557	0.0993904	0.093335	1.128731e+01	3.768889e+01	4.897620e+01
172	0.405307	0.812082	0.105653	0.049057	0.717557	0.105335	0.0922356	1.169033e+01	3.762672e+01	4.931705e+01
173	0.405307	0.769665	0.105653	0.049057	0.719992	0.103319	0.0943496	1.180045e+01	3.776656e+01	4.956701e+01
174	0.400563	0.759339	0.105653	0.049057	0.719992	0.107187	0.0985203	1.180795e+01	3.755626e+01	4.936420e+01
175	0.361909	0.759339	0.101109	0.049057	0.733106	0.104566	0.0970698	1.168737e+01	3.764036e+01	4.932773e+01
