iter	ka(1)	ke(1)	F(1)	IndexT	LnPseudoPrior(0)	LnPseudoPrior(1)	LnPseudoPrior(2)	LnPseudoPrior(3)	LnPseudoPrior(4)	LnPseudoPrior(5)	LnPseudoPrior(6)	LnPseudoPrior(7)	LnPseudoPrior(8)	LnPseudoPrior(9)	LnPrior	LnData	LnPosterior
500	0.0987134	0.0506261	0.771684	6	-6.012875e+00	1.875797e-01	1.589179e+00	2.076052e+00	2.314007e+00	2.231286e+00	5.829346e-01	-9.329560e-01	-1.951865e+00	-2.472179e+00	1.885985e+00	3.807094e+01	3.995693e+01
510	0.0895175	0.0519604	0.808189	7	-5.994873e+00	2.055820e-01	1.607181e+00	2.094054e+00	2.332010e+00	2.249288e+00	6.009369e-01	-9.742735e-01	-2.013037e+00	-2.513708e+00	1.956492e+00	3.724154e+01	3.919803e+01
520	0.0897867	0.0515968	0.785305	8	-5.977189e+00	2.232659e-01	1.624865e+00	2.111738e+00	2.349694e+00	2.266972e+00	6.186208e-01	-9.565896e-01	-2.092667e+00	-2.593234e+00	1.960620e+00	3.689863e+01	3.885925e+01
530	0.0905103	0.0523456	0.817238	9	-5.959812e+00	2.406425e-01	1.642241e+00	2.129115e+00	2.367070e+00	2.284349e+00	6.359974e-01	-9.392130e-01	-2.113518e+00	-2.728772e+00	1.938238e+00	3.683614e+01	3.877438e+01
540	0.0854007	0.0523618	0.825338	7	-5.942733e+00	2.577224e-01	1.659321e+00	2.146195e+00	2.384150e+00	2.301429e+00	6.343379e-01	-9.970916e-01	-2.152785e+00	-2.749526e+00	1.994623e+00	3.439989e+01	3.639452e+01
550	0.0837099	0.0525157	0.821363	7	-5.925940e+00	2.745154e-01	1.676114e+00	2.162988e+00	2.400943e+00	2.318222e+00	5.031359e-01	-1.017027e+00	-2.135992e+00	-2.732733e+00	2.011025e+00	3.273096e+01	3.474199e+01
560	0.0905952	0.0507527	0.781244	8	-5.909424e+00	2.910310e-01	1.692630e+00	2.179503e+00	2.417459e+00	2.334737e+00	5.196515e-01	-1.036785e+00	-2.210328e+00	-2.770763e+00	1.968397e+00	3.563889e+01	3.760729e+01
570	0.0911551	0.0518066	0.820584	8	-5.893177e+00	3.072783e-01	1.708877e+00	2.195751e+00	2.433706e+00	2.350985e+00	5.358988e-01	-1.056369e+00	-2.265453e+00	-2.826032e+00	1.941697e+00	3.597652e+01	3.791822e+01
580	0.0950618	0.050841	0.774381	8	-5.877189e+00	3.232659e-01	1.724865e+00	2.211738e+00	2.449694e+00	2.366972e+00	5.342864e-01	-1.075582e+00	-2.302127e+00	-2.880447e+00	1.919206e+00	3.861657e+01	4.053578e+01
590	0.0965563	0.0501881	0.750506	5	-5.861453e+00	3.390018e-01	1.740601e+00	2.227474e+00	2.465430e+00	2.365521e+00	4.461658e-01	-1.111898e+00	-2.286391e+00	-2.864711e+00	1.916683e+00	3.819545e+01	4.011213e+01
600	0.0965563	0.051169	0.799914	8	-5.845961e+00	3.544940e-01	1.756093e+00	2.242966e+00	2.480922e+00	2.363852e+00	4.445241e-01	-1.130462e+00	-2.338905e+00	-2.883275e+00	1.897278e+00	3.608288e+01	3.798016e+01
610	0.098242	0.0510448	0.752112	6	-5.830705e+00	3.697498e-01	1.771349e+00	2.258222e+00	2.496178e+00	2.379108e+00	3.424252e-01	-1.165666e+00	-2.323650e+00	-2.868019e+00	1.882496e+00	3.635737e+01	3.823987e+01
620	0.100492	0.05072	0.774366	6	-5.815679e+00	3.847764e-01	1.786375e+00	2.273249e+00	2.511204e+00	2.261902e+00	3.243925e-01	-1.150639e+00	-2.308623e+00	-2.852992e+00	1.866280e+00	3.654232e+01	3.840860e+01
630	0.100492	0.0502941	0.78405	6	-5.800874e+00	3.995805e-01	1.801179e+00	2.288053e+00	2.526008e+00	2.276706e+00	2.905237e-01	-1.217318e+00	-2.326508e+00	-2.838188e+00	1.874728e+00	3.526061e+01	3.713534e+01
640	0.0950295	0.0506874	0.753571	8	-5.786286e+00	4.141687e-01	1.815767e+00	2.302641e+00	2.540596e+00	2.291294e+00	2.729716e-01	-1.251023e+00	-2.360003e+00	-2.855554e+00	1.922577e+00	3.760321e+01	3.952579e+01
650	0.0933006	0.0504523	0.774953	8	-5.771908e+00	4.285471e-01	1.830146e+00	2.317019e+00	2.554975e+00	2.305672e+00	2.714540e-01	-1.300023e+00	-2.392926e+00	-2.872762e+00	1.945388e+00	3.716126e+01	3.910665e+01
660	0.0942341	0.0505271	0.765245	9	-5.757733e+00	4.427216e-01	1.844320e+00	2.331194e+00	2.569149e+00	2.319847e+00	2.856286e-01	-1.301451e+00	-2.425471e+00	-2.952184e+00	1.934069e+00	3.799948e+01	3.993354e+01
670	0.0996674	0.0495471	0.744402	7	-5.743757e+00	4.566981e-01	1.858297e+00	2.345171e+00	2.583126e+00	2.333823e+00	2.841773e-01	-1.333608e+00	-2.472992e+00	-2.968891e+00	1.897933e+00	3.832482e+01	4.022275e+01
680	0.0982401	0.0496241	0.744402	7	-5.729973e+00	4.704819e-01	1.872081e+00	2.358954e+00	2.596910e+00	2.347607e+00	2.371033e-01	-1.365259e+00	-2.489428e+00	-2.970217e+00	1.910777e+00	3.797132e+01	3.988210e+01
