iter	ka(1)	ke(1)	F(1)	LnPrior	LnData	LnPosterior
160	0.108061	0.0475555	0.697594	1.857307e+00	3.424850e+01	3.610581e+01
161	0.108061	0.0475555	0.697594	1.857307e+00	3.424850e+01	3.610581e+01
162	0.108061	0.0475555	0.697594	1.857307e+00	3.424850e+01	3.610581e+01
163	0.108061	0.0475555	0.697594	1.857307e+00	3.424850e+01	3.610581e+01
164	0.108061	0.0478658	0.702824	1.850861e+00	3.556221e+01	3.741307e+01
165	0.108061	0.0478658	0.702824	1.850861e+00	3.556221e+01	3.741307e+01
166	0.108061	0.0478658	0.702824	1.850861e+00	3.556221e+01	3.741307e+01
167	0.108061	0.0478658	0.702824	1.850861e+00	3.556221e+01	3.741307e+01
168	0.108061	0.0478658	0.702824	1.850861e+00	3.556221e+01	3.741307e+01
169	0.108061	0.0486917	0.702824	1.833865e+00	3.634833e+01	3.818220e+01
170	0.108061	0.0482334	0.702824	1.843267e+00	3.644380e+01	3.828706e+01
171	0.108061	0.0482334	0.706275	1.843267e+00	3.655540e+01	3.839866e+01
172	0.108061	0.0482334	0.706275	1.843267e+00	3.655540e+01	3.839866e+01
173	0.108061	0.0482334	0.706275	1.843267e+00	3.655540e+01	3.839866e+01
174	0.108061	0.0482334	0.706275	1.843267e+00	3.655540e+01	3.839866e+01
175	0.108061	0.0487085	0.713825	1.833522e+00	3.699898e+01	3.883250e+01
176	0.108061	0.0487085	0.713825	1.833522e+00	3.699898e+01	3.883250e+01
177	0.108061	0.0487085	0.713825	1.833522e+00	3.699898e+01	3.883250e+01
178	0.108061	0.0487085	0.713825	1.833522e+00	3.699898e+01	3.883250e+01
179	0.108061	0.0487085	0.713825	1.833522e+00	3.699898e+01	3.883250e+01
180	0.108061	0.0487085	0.713825	1.833522e+00	3.699898e+01	3.883250e+01
181	0.108061	0.0487085	0.713825	1.833522e+00	3.699898e+01	3.883250e+01
182	0.108061	0.0487085	0.716773	1.833522e+00	3.701723e+01	3.885075e+01
183	0.108061	0.0487085	0.716773	1.833522e+00	3.701723e+01	3.885075e+01
184	0.108061	0.0487085	0.716773	1.833522e+00	3.701723e+01	3.885075e+01
185	0.108061	0.0487085	0.716773	1.833522e+00	3.701723e+01	3.885075e+01
186	0.108061	0.0487085	0.716371	1.833522e+00	3.701874e+01	3.885226e+01
187	0.108061	0.0487085	0.716371	1.833522e+00	3.701874e+01	3.885226e+01
188	0.108061	0.0487085	0.716371	1.833522e+00	3.701874e+01	3.885226e+01
189	0.108061	0.0487085	0.716371	1.833522e+00	3.701874e+01	3.885226e+01
190	0.108061	0.0487085	0.716371	1.833522e+00	3.701874e+01	3.885226e+01
191	0.108061	0.0487085	0.716371	1.833522e+00	3.701874e+01	3.885226e+01
192	0.106251	0.0487085	0.716371	1.850631e+00	3.743684e+01	3.928747e+01
193	0.106251	0.0487085	0.716371	1.850631e+00	3.743684e+01	3.928747e+01
194	0.106251	0.0487085	0.719508	1.850631e+00	3.746309e+01	3.931372e+01
195	0.106251	0.0487085	0.719508	1.850631e+00	3.746309e+01	3.931372e+01
196	0.106251	0.0487085	0.719508	1.850631e+00	3.746309e+01	3.931372e+01
197	0.106251	0.0487085	0.719508	1.850631e+00	3.746309e+01	3.931372e+01
198	0.106251	0.0487085	0.719508	1.850631e+00	3.746309e+01	3.931372e+01
199	0.106251	0.0487085	0.719508	1.850631e+00	3.746309e+01	3.931372e+01
200	0.106251	0.0487085	0.719508	1.850631e+00	3.746309e+01	3.931372e+01
201	0.106251	0.0487085	0.719508	1.850631e+00	3.746309e+01	3.931372e+01
