iter	t1(1)	t2(1)	t3(1)	LnPrior	LnData	LnPosterior
5590	2.00871	4.98697	7.02334	-9.816584e-01	2.279042e+01	2.180876e+01
5595	2.00871	5.00611	7.07368	-1.091853e+00	2.231911e+01	2.122726e+01
5600	2.11393	4.99551	6.89624	-7.734174e-01	2.046935e+01	1.969594e+01
5605	2.11393	5.04076	7.08785	-1.153810e+00	2.062865e+01	1.947484e+01
5610	2.11393	5.14584	6.99549	-9.929254e-01	1.942931e+01	1.843638e+01
5615	1.97902	5.15992	6.95632	-9.018776e-01	2.005931e+01	1.915743e+01
5620	1.97902	5.02734	7.04423	-1.028153e+00	2.255571e+01	2.152756e+01
5625	1.97902	5.01017	7.05019	-1.039911e+00	2.256415e+01	2.152424e+01
5630	2.02035	4.92607	7.03849	-1.025098e+00	2.212307e+01	2.109797e+01
5635	2.00675	5.07124	7.00724	-9.582359e-01	2.235482e+01	2.139658e+01
5640	1.93736	5.04549	6.93507	-8.239654e-01	2.182976e+01	2.100580e+01
5645	1.98146	4.94568	7.14293	-1.266701e+00	2.048258e+01	1.921588e+01
5650	1.98146	5.03397	7.05503	-1.052510e+00	2.241805e+01	2.136554e+01
5655	1.98146	4.96472	6.9449	-8.324434e-01	2.238786e+01	2.155541e+01
5660	2.06564	5.09803	6.90379	-7.873294e-01	2.053633e+01	1.974900e+01
5665	2.06564	5.01647	6.96422	-8.735649e-01	2.227976e+01	2.140620e+01
5670	2.00981	5.02692	6.96422	-8.660458e-01	2.265618e+01	2.179013e+01
5675	2.00981	4.95005	6.96422	-8.695873e-01	2.246752e+01	2.159794e+01
5680	2.006	4.93674	6.96113	-8.667558e-01	2.229591e+01	2.142916e+01
5685	2.006	5.11024	6.99904	-9.558527e-01	2.164998e+01	2.069413e+01
5690	2.006	5.00926	6.97875	-8.920401e-01	2.280886e+01	2.191682e+01
5695	1.95914	4.93352	6.92917	-8.139509e-01	2.172537e+01	2.091142e+01
5700	1.95914	5.08241	6.92917	-8.186936e-01	2.150457e+01	2.068588e+01
5705	2.10295	5.07225	7.0265	-1.019438e+00	2.121642e+01	2.019698e+01
5710	2.10295	5.08472	6.91537	-8.140196e-01	2.035990e+01	1.954588e+01
5715	1.91554	4.9288	7.05516	-1.074214e+00	2.131910e+01	2.024489e+01
5720	1.97619	4.98649	7.01835	-9.722672e-01	2.275676e+01	2.178449e+01
