Results of Simulation 1

Time	theta_1	theta_2
131.4	165.624	165.876
131.6	165.874	166.126
131.8	166.124	166.376
132	166.374	166.626
132.2	166.624	166.876
132.4	166.874	167.126
132.6	167.124	167.376
132.8	167.374	167.626
133	167.624	167.876
133.2	167.874	168.126
133.4	168.124	168.376
133.6	168.374	168.626
133.8	168.624	168.876
134	168.874	169.126
134.2	169.124	169.376
134.4	169.374	169.626
134.6	169.624	169.876
134.8	169.874	170.126
135	170.124	170.376
135.2	170.374	170.626
135.4	170.624	170.876
135.6	170.874	171.126
135.8	171.124	171.376
136	171.374	171.626
136.2	171.624	171.876
136.4	171.874	172.126
136.6	172.124	172.376
136.8	172.374	172.626
137	172.624	172.876
137.2	172.874	173.126
137.4	173.124	173.376
137.6	173.374	173.626
137.8	173.624	173.876
138	173.874	174.126
138.2	174.124	174.376
138.4	174.374	174.626
138.6	174.624	174.876
138.8	174.874	175.126
139	175.124	175.376
139.2	175.374	175.626
139.4	175.624	175.876
139.6	175.874	176.126
139.8	176.124	176.376
140	176.374	176.626
140.2	176.624	176.876
140.4	176.874	177.126
140.6	177.124	177.376
140.8	177.374	177.626
141	177.624	177.876
141.2	177.874	178.126
141.4	178.124	178.376
141.6	178.374	178.626
141.8	178.624	178.876
142	178.874	179.126
142.2	179.124	179.376
142.4	179.374	179.626
142.6	179.624	179.876
142.8	179.874	180.126
143	180.124	180.376
143.2	180.374	180.626
143.4	180.624	180.876
143.6	180.874	181.126
143.8	181.124	181.376
144	181.374	181.626
144.2	181.624	181.876
144.4	181.874	182.126
144.6	182.124	182.376
144.8	182.374	182.626
145	182.624	182.876
145.2	182.874	183.126
145.4	183.124	183.376
145.6	183.374	183.626
145.8	183.624	183.876
146	183.874	184.126
146.2	184.124	184.376
146.4	184.374	184.626
146.6	184.624	184.876
146.8	184.874	185.126
147	185.124	185.376
147.2	185.374	185.626
147.4	185.624	185.876
147.6	185.874	186.126
147.8	186.124	186.376
148	186.374	186.626
148.2	186.624	186.876
148.4	186.874	187.126
148.6	187.124	187.376
148.8	187.374	187.626
149	187.624	187.876
149.2	187.874	188.126
149.4	188.124	188.376
149.6	188.374	188.626
149.8	188.624	188.876
150	188.874	189.126
150.2	189.124	189.376
150.4	189.374	189.626
150.6	189.624	189.876
150.8	189.874	190.126
151	190.124	190.376
151.2	190.374	190.626
151.4	190.624	190.876
151.6	190.874	191.126
151.8	191.124	191.376
152	191.374	191.626
152.2	191.624	191.876
152.4	191.874	192.126
152.6	192.124	192.376
152.8	192.374	192.626
153	192.624	192.876
153.2	192.874	193.126
153.4	193.124	193.376
153.6	193.374	193.626
153.8	193.624	193.876
154	193.874	194.126
154.2	194.124	194.376
154.4	194.374	194.626
154.6	194.624	194.876
154.8	194.874	195.126
155	195.124	195.376
155.2	195.374	195.626
155.4	195.624	195.876
155.6	195.874	196.126
155.8	196.124	196.376
156	196.374	196.626
156.2	196.624	196.876
